file_off	va	string
0x53BA	0x3F4053BA	uart_disable_intr_mask
0x53D1	0x3F4053D1	uart_set_line_inverse
0x53E7	0x3F4053E7	uart_get_baudrate
0x53F9	0x3F4053F9	uart_set_baudrate
0x540B	0x3F40540B	uart_get_parity
0x541B	0x3F40541B	uart_set_parity
0x542B	0x3F40542B	uart_get_stop_bits
0x543E	0x3F40543E	uart_set_stop_bits
0x5451	0x3F405451	uart_get_word_length
0x5466	0x3F405466	uart_set_word_length
0x547B	0x3F40547B	esp_ota_ops
0x54CF	0x3F4054CF	phys_offs != SPI_FLASH_CACHE2PHYS_FAIL
0x551F	0x3F40551F	it != NULL
0x552A	0x3F40552A	ota_app_count < 16 && "must erase the partition before writing to it"
0x55E5	0x3F4055E5	esp_ota_get_running_partition
0x5603	0x3F405603	esp_ota_get_app_partition_count
0x5623	0x3F405623	boot_comm
0x56E5	0x3F4056E5	bootloader_mmap
0x5748	0x3F405748	mosi_len <= 32
0x5791	0x3F405791	miso_len <= 32
0x57A0	0x3F4057A0	miso_byte_num <= 4
0x57B3	0x3F4057B3	bootloader_flash_execute_command_common
0x57DB	0x3F4057DB	esp_image
0x5A0D	0x3F405A0D	Calculated hash
0x5A4E	0x3F405A4E	Expected hash
0x5A5C	0x3F405A5C	handle != NULL
0x5AA7	0x3F405AA7	ret == 0
0x5AB0	0x3F405AB0	bootloader_sha256_finish
0x5AC9	0x3F405AC9	bootloader_sha256_data
0x5AE0	0x3F405AE0	partition
0x5B8F	0x3F405B8F	iterator != NULL
0x5BA0	0x3F405BA0	partition != NULL
0x5BB2	0x3F405BB2	esp_partition_mmap
0x5BC5	0x3F405BC5	esp_partition_erase_range
0x5BDF	0x3F405BDF	esp_partition_write_raw
0x5BF7	0x3F405BF7	esp_partition_read_raw
0x5C0E	0x3F405C0E	esp_partition_write
0x5C22	0x3F405C22	esp_partition_read
0x5C35	0x3F405C35	esp_partition_get
0x5C47	0x3F405C47	esp_partition_next
0x5C5A	0x3F405C5A	s_mmap_page_refcnt[i] == 0 || (entry_pro == SOC_MMU_PAGE_IN_FLASH(pages[pageno]) && entry_app == SOC_MMU_PAGE_IN_FLASH(pages[pageno]) )
0x5D09	0x3F405D09	s_mmap_page_refcnt[i] > 0
0x5D23	0x3F405D23	0 && "invalid handle, or handle already unmapped"
0x5D55	0x3F405D55	spi_flash_munmap
0x5D66	0x3F405D66	spi_flash_mmap_pages
0x5DD1	0x3F405DD1	len_remain < len
0x5E0C	0x3F405E0C	len_remain < length
0x5EA3	0x3F405EA3	bus_acquired
0x5EB0	0x3F405EB0	esp_flash_write_encrypted
0x5ECA	0x3F405ECA	esp_flash_write
0x5EDA	0x3F405EDA	esp_flash_erase_region
0x5EF1	0x3F405EF1	spi_flash
0x5F5F	0x3F405F5F	spi_flash
0x5F69	0x3F405F69	chip_status == 0
0x5FAC	0x3F405FAC	spi1_flash_os_check_yield
0x5FC6	0x3F405FC6	s_flash_op_mutex != NULL
0x6007	0x3F406007	esp_task_stack_is_sane_cache_disabled()
0x602F	0x3F40602F	s_flash_op_cpu == -1
0x6044	0x3F406044	other_cpuid == 1
0x6055	0x3F406055	esp_ipc_call(other_cpuid, &spi_flash_op_block_func, (void *) other_cpuid)
0x609F	0x3F40609F	xPortGetCoreID() == cpuid
0x60B9	0x3F4060B9	cpuid == s_flash_op_cpu
0x60D1	0x3F4060D1	!(xTaskGetSchedulerState() == taskSCHEDULER_NOT_STARTED && cpuid != 0)
0x6118	0x3F406118	spi_flash_enable_interrupts_caches_and_other_cpu
0x6149	0x3F406149	spi_flash_disable_interrupts_caches_and_other_cpu
0x617B	0x3F40617B	spi_flash_init_lock
0x6193	0x3F406193	findItem(nsIndex, datatype, key, findPage, item)
0x61F1	0x3F4061F1	esp_err_t nvs::Storage::writeItem(uint8_t, nvs::ItemType, const char*, const void*, size_t)
0x62CB	0x3F4062CB	@mPageList.back().getSeqNumber(lastSeqNo)
0x6326	0x3F406326	esp_err_t nvs::PageManager::load(nvs::Partition*, uint32_t, uint32_t)
0x636C	0x3F40636C	pthread
0x63EE	0x3F4063EE	false && "Failed to lock threads list!"
0x6457	0x3F406457	false && "Failed to release mutex!"
0x647B	0x3F40647B	false && "Failed to unlock mutex!"
0x649E	0x3F40649E	pthread_mutex_unlock
0x64B3	0x3F4064B3	pthread_mutex_destroy
0x64C9	0x3F4064C9	pthread_cancel
0x64D8	0x3F4064D8	tls != NULL
0x6514	0x3F406514	pthread_local_storage_thread_deleted_callback
0x6542	0x3F406542	task_wdt
0x6654	0x3F406654	esp_intr_alloc(ETS_TG0_WDT_LEVEL_INTR_SOURCE, 0, task_wdt_isr, NULL, &twdt_config->intr_handle)
0x66D9	0x3F4066D9	esp_register_freertos_idle_hook_for_cpu(idle_hook_cb, i)
0x6712	0x3F406712	esp_task_wdt_add
0x6723	0x3F406723	esp_task_wdt_init
0x6735	0x3F406735	cpu_start
0x67E7	0x3F4067E7	rtc_clk_xtal_freq_get() != RTC_XTAL_FREQ_AUTO
0x6850	0x3F406850	esp_clk_init
0x685D	0x3F40685D	(hint & (~RST_REASON_MASK)) == 0
0x68B7	0x3F4068B7	esp_reset_reason_set_hint
0x68E8	0x3F4068E8	Backtrace:
0x68F7	0x3F4068F7	 0x%08X:0x%08X
0x6906	0x3F406906	 |<-CORRUPTED
0x6914	0x3F406914	 |<-CONTINUES
0x6922	0x3F406922	core_id<portNUM_PROCESSORS
0x696C	0x3F40696C	esp_crosscore_int_send
0x6983	0x3F406983	esp_crosscore_int_init
0x69AB	0x3F4069AB	?Guru Meditation Error: Core 
0x69C9	0x3F4069C9	 panic'ed (
0x69D9	0x3F4069D9	Setting breakpoint at 0x
0x69F2	0x3F4069F2	 and returning...
0x6A08	0x3F406A08	ELF file SHA256: 
0x6A1A	0x3F406A1A	Re-entered core dump! Exception happened during core dump!
0x6A57	0x3F406A57	Rebooting...
0x6A66	0x3F406A66	vfs_err == ESP_OK && "Failed to register vfs console"
0x6AC1	0x3F406AC1	/dev/console/
0x6ACF	0x3F406ACF	err == ESP_OK && "Failed to init pthread module!"
0x6B01	0x3F406B01	flash_ret == ESP_OK
0x6B15	0x3F406B15	do_core_init
0x6B2B	0x3F406B2B	@Unknown
0x6B36	0x3F406B36	Brownout detector was triggered
0x6B5F	0x3F406B5F	Memory dump at 0x
0x6B71	0x3F406B71	Debug exception reason: 
0x6B8A	0x3F406B8A	SingleStep 
0x6B96	0x3F406B96	HwBreakpoint 
0x6BA4	0x3F406BA4	Stack canary watchpoint triggered (
0x6BCB	0x3F406BCB	Watchpoint 0 triggered 
0x6BE3	0x3F406BE3	BREAK instr 
0x6BF0	0x3F406BF0	BREAKN instr 
0x6BFE	0x3F406BFE	DebugIntr 
0x6C09	0x3F406C09	 register dump:
0x6C19	0x3F406C19	 was running in ISR context:
0x6C38	0x3F406C38	EPC1    : 0x
0x6C45	0x3F406C45	  EPC2    : 0x
0x6C54	0x3F406C54	  EPC3    : 0x
0x6C63	0x3F406C63	  EPC4    : 0x
0x6C72	0x3F406C72	PC      
0x6C7B	0x3F406C7B	PS      
0x6C84	0x3F406C84	A0      
0x6C8D	0x3F406C8D	A1      
0x6C96	0x3F406C96	A2      
0x6C9F	0x3F406C9F	A3      
0x6CA8	0x3F406CA8	A4      
0x6CB1	0x3F406CB1	A5      
0x6CBA	0x3F406CBA	A6      
0x6CC3	0x3F406CC3	A7      
0x6CCC	0x3F406CCC	A8      
0x6CD5	0x3F406CD5	A9      
0x6CDE	0x3F406CDE	A10     
0x6CE7	0x3F406CE7	A11     
0x6CF0	0x3F406CF0	A12     
0x6CF9	0x3F406CF9	A13     
0x6D02	0x3F406D02	A14     
0x6D0B	0x3F406D0B	A15     
0x6D14	0x3F406D14	SAR     
0x6D1D	0x3F406D1D	EXCCAUSE
0x6D26	0x3F406D26	EXCVADDR
0x6D2F	0x3F406D2F	LBEG    
0x6D38	0x3F406D38	LEND    
0x6D41	0x3F406D41	LCOUNT  
0x6D99	0x3F406D99	m@?&m@?/m@?8m@?Am@?Exception was unhandled.
0x6DC5	0x3F406DC5	Unknown reason
0x6DD4	0x3F406DD4	Unhandled debug exception
0x6DEE	0x3F406DEE	Double exception
0x6DFF	0x3F406DFF	Unhandled kernel exception
0x6E1A	0x3F406E1A	Coprocessor exception
0x6E30	0x3F406E30	Interrupt wdt timeout on CPU0
0x6E4E	0x3F406E4E	Interrupt wdt timeout on CPU1
0x6E6C	0x3F406E6C	Cache disabled but cached memory region accessed
0x6E9D	0x3F406E9D	IllegalInstruction
0x6EB0	0x3F406EB0	Syscall
0x6EB8	0x3F406EB8	InstructionFetchError
0x6ECE	0x3F406ECE	LoadStoreError
0x6EDD	0x3F406EDD	Level1Interrupt
0x6EED	0x3F406EED	Alloca
0x6EF4	0x3F406EF4	IntegerDivideByZero
0x6F08	0x3F406F08	PCValue
0x6F10	0x3F406F10	Privileged
0x6F1B	0x3F406F1B	LoadStoreAlignment
0x6F2E	0x3F406F2E	InstrPDAddrError
0x6F3F	0x3F406F3F	LoadStorePIFDataError
0x6F55	0x3F406F55	InstrPIFAddrError
0x6F67	0x3F406F67	LoadStorePIFAddrError
0x6F7D	0x3F406F7D	InstTLBMiss
0x6F89	0x3F406F89	InstTLBMultiHit
0x6F99	0x3F406F99	InstFetchPrivilege
0x6FAC	0x3F406FAC	InstrFetchProhibited
0x6FC1	0x3F406FC1	LoadStoreTLBMiss
0x6FD2	0x3F406FD2	LoadStoreTLBMultihit
0x6FE7	0x3F406FE7	LoadStorePrivilege
0x6FFA	0x3F406FFA	LoadProhibited
0x7009	0x3F407009	StoreProhibited
0x7019	0x3F407019	Cp0Dis
0x7020	0x3F407020	Cp1Dis
0x7027	0x3F407027	Cp2Dis
0x702E	0x3F40702E	Cp3Dis
0x7035	0x3F407035	Cp4Dis
0x703C	0x3F40703C	Cp5Dis
0x7043	0x3F407043	Cp6Dis
0x704A	0x3F40704A	Cp7Dis
0x7065	0x3F407065	n@?0n@?Nn@?ln@?
0x70BD	0x3F4070BD	o@?Eh@?
0x70C5	0x3F4070C5	o@?Eh@?Eh@?Eh@?
0x70DD	0x3F4070DD	o@?Eh@?
0x70E9	0x3F4070E9	p@?Eh@?Eh@?
0x70F5	0x3F4070F5	p@? p@?'p@?.p@?5p@?<p@?Cp@?Jp@?bus_cfg->scl_low > 0
0x7158	0x3F407158	scl_high > 13
0x7166	0x3F407166	i2c_ll_set_bus_timing
0x71B4	0x3F4071B4	strncmp(src_path, vfs->path_prefix, vfs->path_prefix_len) == 0
0x720D	0x3F40720D	translate_path
0x721C	0x3F40721C	/dev/uart
0x7229	0x3F407229	/dev/console
0x72DB	0x3F4072DB	@fd >=0 && fd < 3
0x730C	0x3F40730C	s_ctx[fd]->peek_char == NONE
0x732F	0x3F40732F	fd >= 0 && fd < 3
0x7341	0x3F407341	uart_write
0x734C	0x3F40734C	uart_return_char
0x735D	0x3F40735D	uart_read
0x7367	0x3F407367	uart_close
0x7372	0x3F407372	uart_fstat
0x737D	0x3F40737D	uart_fcntl
0x7388	0x3F407388	uart_fsync
0x7443	0x3F407443	?ETH_EVENT
0x744E	0x3F40744E	esp_netif_handlers
0x747F	0x3F40747F	connected action: dhcpc failed
0x749E	0x3F40749E	esp_event_send_internal in esp_netif_action_connected
0x74F2	0x3F4074F2	esp_netif_action_connected
0x750D	0x3F40750D	s_list_lock
0x7547	0x3F407547	s_esp_netif_counter > 0
0x755F	0x3F40755F	esp_netif_objects
0x75A3	0x3F4075A3	esp_netif_remove_from_list
0x75BE	0x3F4075BE	esp_netif_list_unlock
0x75D4	0x3F4075D4	IP_EVENT
0x75EC	0x3F4075EC	OT_DEF
0x75F3	0x3F4075F3	openthread
0x75FE	0x3F4075FE	SLP_DEF
0x760B	0x3F40760B	PPP_DEF
0x7617	0x3F407617	ETH_DEF
0x7623	0x3F407623	WIFI_AP_DEF
0x762F	0x3F40762F	WIFI_STA_DEF
